batch_slot,status,source_queue,source_url_or_query,public_signal_to_verify,fit_checks,disqualifiers,approved_channel,approved_draft,personalization_note,contact_url_or_email,no_send_notes
1,needs manual qualification,HN item 36488436,https://news.ycombinator.com/item?id=36488436,"Startup says 100+ question client security assessments take too much time and team is too small to hire for it","B2B SaaS/vendor; small team; current/recent customer questionnaire; public contact","Buyer issuing questionnaires; wants SOC2/legal advice; no safe redaction path",TBD by Curi,Founder email or HN soft mention,"Reference the public HN-style pain only if the prospect/current company can be verified",,Do not revive stale thread without approval
2,needs manual qualification,HN item 15430123,https://news.ycombinator.com/item?id=15430123,"Very small enterprise SaaS team asked to meet customer security team and prepare policies/pen-test docs","B2B SaaS; first enterprise/security-review trigger; answer-library gap","Needs full compliance program; no active deal; consulting-only security audit need",TBD by Curi,Founder email,"Position as answer-map starter, not policy creation or security advice",,Use comparable-current-team search if original poster is stale
3,needs manual qualification,HN item 26513040,https://news.ycombinator.com/item?id=26513040,"Stacksi launch validates done-for-you security questionnaire category","Commenter mentions manual questionnaire pain or B2B selling into enterprise","Competitor vendor; buyer-side GRC team; no public contact",TBD by Curi,HN soft mention or partner note,"Only reply/post if Curi approves and context is appropriate",,No posting from cron
4,needs manual qualification,HN item 25793503,https://news.ycombinator.com/item?id=25793503,"Dumb security questionnaire thread validates mismatch and repeated annoyance","Vendor receives questionnaires; small enough for a $99 stopgap; spreadsheet/export pain","Large enterprise with GRC stack; wants to issue questionnaires",TBD by Curi,HN soft mention or founder email,"Use 'do-not-claim flags' to avoid sounding like we invent answers",,No scraping private data
5,needs manual qualification,HN Algolia current query,https://hn.algolia.com/?q=security%20questionnaire%20startup%20SaaS,"Search returned direct questionnaire pain plus 2025/2026 compliance-startup chatter","Current founder/operator profile; public contact; questionnaire/review signal","Compliance-tool vendor unless partner/channel angle",TBD by Curi,Founder email,"Mention exact public phrase they used once verified",,Re-run immediately before outreach
6,needs manual qualification,HN Algolia current query,https://hn.algolia.com/?q=vendor%20security%20questionnaire%20startup,"Vendor-questionnaire terminology catches procurement-driven sales blockers","Answering vendor questionnaires, not issuing them; B2B SaaS","Procurement platform buyer; broad vendor management need",TBD by Curi,Founder email,"Keep wedge to one redacted questionnaire -> answer map",,Re-run immediately before outreach
7,needs manual qualification,Google search,https://www.google.com/search?q=%22security+questionnaire%22+%22founder%22+%22SaaS%22,"Founder/blog/social mention of security questionnaires","Company is active; public work email/site; likely under ~25 people or early enterprise sales","Generic SEO article; compliance vendor content farm",TBD by Curi,Founder email or LinkedIn DM,"Open with the $99 pre-GRC stopgap",,Manual search only; no account actions from cron
8,needs manual qualification,Google search,https://www.google.com/search?q=%22customer+security+review%22+%22startup%22+%22SaaS%22,"Customer security review language tied to enterprise sales","Current deal/review pressure; answer-library gap; can redact safely","Needs pen-test/SOC2/legal program instead of response mapping",TBD by Curi,Founder email,"Ask if they have one questionnaire in front of them now",,Manual search only
9,needs manual qualification,Google search,https://www.google.com/search?q=%22spreadsheet%22+%22security+questionnaire%22+%22SaaS%22,"Spreadsheet pain maps directly to import/export wedge","Questionnaire is spreadsheet/doc/portal-copy-paste; repeated questions","Portal-only automation need; brittle scraper request",TBD by Curi,Founder email,"Emphasize export-first response map and confidence flags",,Avoid promising portal automation
10,needs Curi input,Warm-network ask,Curi-selected founders/operators,"Curi likely knows B2B SaaS founders hit by customer questionnaires","Founder/operator trusts Curi; live/recent sales blocker; can safely redact","Friend needs broad compliance advice; no current questionnaire",TBD by Curi,Warm network text,"Use warm-network text from outreach.md",,Fastest safe first-revenue route if Curi approves sender/copy
